Price,Close,High,Low,Open,Volume
Ticker,DIS,DIS,DIS,DIS,DIS
Date,,,,,
2018-09-18,106.06440734863281,106.27744760563921,104.8055445204981,105.44465790352116,4937800
2018-09-19,106.3161849975586,106.69384459235812,106.01599593194776,106.16124393918119,5964600
2018-09-20,108.08828735351562,108.4078403656672,106.46144313857589,107.08119261207707,7121800
2018-09-21,106.90689086914062,108.43690066072574,106.90689086914062,108.40784366964776,25753600
2018-09-24,109.20189666748047,109.56019233921684,108.16575230650949,108.71771692145671,9232300
2018-09-25,110.03468322753906,111.08051322171069,109.0856950901583,109.72480849459892,12169400
2018-09-26,111.56468963623047,112.63956920027856,110.4026612692577,110.4026612692577,11141500
2018-09-27,112.36844635009766,112.91072534977498,111.45818598235591,111.54534218615964,5195300
2018-09-28,113.23995971679688,113.74350339461759,111.70026430508236,111.99077510366895,7366800
2018-10-01,112.56210327148438,113.68540380838462,112.01982432980645,113.56919801174085,8643900
2018-10-02,113.93717956542969,113.9759074430576,111.65185060956512,111.8939404787203,6441700
2018-10-03,113.21090698242188,114.36324970547567,113.04628026084593,114.21799431020104,6111700
2018-10-04,112.45558166503906,113.46267639210242,111.47754392775335,113.29805705667766,6442800
2018-10-05,111.1482925415039,112.89134244479824,111.09987900352108,112.32969221062606,5835700
2018-10-08,112.34906768798828,112.48464481705547,110.50919051974805,111.19672488888988,5652300
2018-10-09,113.1915512084961,114.0437049829311,112.36844703950811,112.93009737147537,6761400
2018-10-10,109.28904724121094,113.5207806634383,109.16316317339958,113.14311368401174,9006500
2018-10-11,107.63316345214844,109.66671699161206,106.82942326752332,108.94044734266099,10045400
2018-10-12,109.04695892333984,109.68607232249568,107.71062553383484,108.42720946258422,5963900
2018-10-15,109.8507080078125,110.9933725545622,108.3497477734559,108.38848304141315,6628800
2018-10-16,112.51368713378906,112.68799213073359,110.23803651034758,110.72221623652726,7619000
2018-10-17,113.42394256591797,113.51109876036378,111.7777344147944,112.42653348946104,7120600
2018-10-18,112.50401306152344,113.42395168084435,111.92299880784722,113.0559777107154,6056300
2018-10-19,115.137939453125,115.39939325247722,113.51109529049933,113.70476422424198,10431000
2018-10-22,114.52787780761719,115.90295394843407,113.99528450149518,115.28320444327585,8406400
2018-10-23,114.12116241455078,114.74091188622617,111.75837032428701,113.24963741125836,8607400
2018-10-24,108.0785903930664,113.35614602958074,107.72998042716134,113.35614602958074,11630500
2018-10-25,110.54792785644531,111.06115722696225,108.57247352215599,109.05665328875641,7406900
2018-10-26,109.60860443115234,110.52854291922317,108.55308882816972,109.26967272586687,7984700
2018-10-29,109.4633560180664,111.30324049946846,108.41752601120673,110.828739037025,9234100
2018-10-30,111.12893676757812,111.2548208411763,108.85329345132499,109.80228161105772,7365400
2018-10-31,111.19672393798828,112.83324648062815,111.0514685343702,112.55242872509574,9196700
2018-11-01,112.4265365600586,112.60084156571438,111.26450811435124,111.55501153177974,6779900
2018-11-02,111.53564453125,113.2496375498252,110.75127572132534,113.13343914124168,6377900
2018-11-05,111.7970962524414,112.54273717092232,111.47754324680307,112.07792138127222,7920800
2018-11-06,113.01724243164062,113.14312651372644,111.79710732743524,112.07793248408552,5036600
2018-11-07,113.34648132324219,113.57888553233343,111.51628247715588,112.88166551706311,8249800
2018-11-08,112.32970428466797,114.10180397882982,111.56469937754898,113.7338226330276,11074800
2018-11-09,114.26642608642578,116.39681412605864,113.47237155659931,114.46009503984804,16878200
2018-11-12,113.0075454711914,114.71186018105101,112.91071100326678,114.26641571820063,9170600
2018-11-13,113.1528091430664,114.0533837978265,112.50401003372228,113.40458468848237,4650600
2018-11-14,113.41426086425781,114.4794547762166,112.7557761461021,113.72413559115485,7109100
2018-11-15,113.40458679199219,113.71446155056081,112.03919628867615,112.80420121501679,7088700
2018-11-16,112.51368713378906,113.62729459360524,112.3200108105194,112.842925801353,7141900
2018-11-19,111.76805114746094,114.10180107680969,111.1579873252478,112.32970142771873,9714600
2018-11-20,108.33038330078125,110.96431501695018,107.99145155482114,109.92817061517874,11194600
2018-11-21,109.45367431640625,110.38329856015316,108.74677601084717,108.94044495779566,7242500
2018-11-23,108.53372955322266,109.22126388011664,108.20448349657131,108.6886632243555,3242300
2018-11-26,108.98886108398438,109.5989248891758,108.37878989079651,109.5989248891758,7002400
2018-11-27,110.296142578125,110.48981151247965,108.85328906959289,110.01531745171336,7357500
2018-11-28,112.4265365600586,112.6202128930076,110.44140401630881,110.70285783079413,9039800
2018-11-29,112.92039489746094,113.43362421861801,111.5646902037654,112.08760518796208,10834700
2018-11-30,111.8358383178711,113.36584812467883,111.41944343090435,113.14312218551191,16857800
2018-12-03,112.07791900634766,113.22058343586167,111.27418628968648,112.95912963897115,9273300
2018-12-04,109.29873657226562,112.61052420271736,109.09538196913225,111.96172512776853,10806700
2018-12-06,110.71253967285156,110.72221794816743,107.64284193453756,108.51435954473658,10546200
2018-12-07,109.27801513671875,111.23951007829876,108.9169402614775,111.1126495549832,8305500
2018-12-10,109.16091918945312,109.58054397318828,106.887138211416,109.28777972581805,7337500
2018-12-11,109.26824951171875,110.97602333114202,108.74127841114607,110.24412026567491,6861800
2018-12-12,109.50245666503906,111.22975207296594,109.44390680216121,110.27339545591055,7723900
2018-12-13,110.65399169921875,110.85892367801019,109.62932435995805,110.1465421486833,6661500
2018-12-14,109.4926986694336,111.17119760429881,109.34632400850029,109.65860236066335,7601900
2018-12-17,107.9508285522461,110.1660519507775,107.37506091948393,109.5805309708166,7731800
2018-12-18,106.8090591430664,108.39973335764986,106.27233465486569,108.19480137721284,6682300
2018-12-19,106.5846176147461,109.42439797494396,106.32112831047074,107.34579570211245,9416900
2018-12-20,104.41818237304688,106.57485608750231,103.56917204166692,106.125956383821,9387300
2018-12-21,101.70525360107422,106.12594703097818,101.35393952562328,103.900962849991,15530600
2018-12-24,97.92862701416016,101.39297111023282,97.92862701416016,100.73913950301325,7133000
2018-12-26,103.27641296386719,103.29592710476756,97.957912409426,98.06525879763717,9422800
2018-12-27,103.94976043701172,103.97904281678402,100.31952710214316,101.89067977791994,8201400
2018-12-28,104.71094512939453,105.90150131172854,103.62772789082604,104.69142354303446,7620500
2018-12-31,107.00423431396484,107.02374845395933,104.95490713059233,106.4772631904742,7241700
2019-01-02,106.34065246582031,106.50654873085774,105.13057464245306,105.49164210808699,9723500
2019-01-03,103.76435089111328,106.0283710007293,103.38376184928198,105.86247474050619,10594700
2019-01-04,106.96520233154297,108.07769448273875,104.66214657583504,105.33549983140749,10122800
2019-01-07,107.89227294921875,108.71200829037346,106.66268110544169,107.2579628873209,6714700
2019-01-08,108.73152923583984,109.8440214185847,108.4875615212852,109.10236492695732,8730700
2019-01-09,109.95135498046875,110.07822294222976,108.86813785860195,109.1023521978671,5931900
2019-01-10,110.07823181152344,110.18557819767675,108.80959676351354,109.28777138209422,6160100
2019-01-11,109.93185424804688,110.19533610522394,109.03405484061649,109.47319375101287,4819100
2019-01-14,109.7073974609375,109.98064010343191,108.74128741917409,108.95598019407787,6980600
2019-01-15,109.0633316040039,110.44906646635638,107.94107860324648,109.59030277249794,9800900
2019-01-16,108.23384094238281,109.30729740215895,108.13624789988185,108.76080465630811,5899900
2019-01-17,108.3314208984375,108.57538860137812,107.50193219750008,108.04841746958996,6392000
2019-01-18,108.3606948852539,109.22921930451362,108.15576291000983,109.16090864609893,8554700
2019-01-22,107.93131256103516,108.64370154453266,107.10182384265843,107.95083414705076,6986700
2019-01-23,108.43876647949219,109.14138720469771,107.34578849811129,108.50707713799703,6845600
2019-01-24,107.88252258300781,108.42900786200988,107.277479991753,108.32166147573398,6716800
2019-01-25,108.40948486328125,108.80959546969574,107.98986756187597,108.78032053660266,5706900
